X,Y,id,WaterBody,Town,County,Owner,Manager,AccessType,BoatSize,RampType,UniversalAccess,BulletinBoard,Exposure,Parking,Shorefishing,UseVolume,Dock,WinterPlowing,SummerPortolet,WinterPortolet,TempPortolet,AccessName,Bowfin,Carp,ChannelCatfish,WhiteCrappie,LongnoseGar,Muskellunge,WhitePerch,AmericanShad,Sheepshead,LakeWhitefish,BrookTrout,BrownTrout,RainbowTrout,LakeTrout,LandlockedSalmon,RainbowSmelt,YellowPerch,Walleye,NorthernPike,ChainPickerel,LargemouthBass,SmallmouthBass,Bullhead,Panfish,BlackCrappie,Burbot,Directions,CoordX,CoordY,LakeArea,MaximumDepth,ESRI_OID
-72.3253,44.4439,11,Coits Pond,Cabot,Washington,F&W,F&W,Boating/Fishing,Carry-on,None,No,Yes,Northwest,Small,Spring,Light,No,No,No,No,No,Coits Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,"Take Interstate 89 to Exit 8 and follow US Route 2 East approximately 18 miles towards Marshfield.  Veer LEFT onto State Route 215 (a.k.a. Cabot Rd) heading Northeast for 3.2 miles to Hill Pond Rd.  Turn LEFT on Hill Pond Rd and continue for 1.8 miles to Coits Pond Rd.  Continue across the intersection, bearing slightly right and Northeast onto Coits Pond Rd.  Travel for approximately 2.6 miles, past West Hill Pond, to the Coits Pond Access on the LEFT side of the road.",-72.32529255,44.44387195,40,7,11
-72.6652,43.4736,12,Colby Pond,Plymouth,Windsor,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,Trout Season Only,Light,No,No,No,No,No,Colby Pond,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take US Route 4 to West Bridgewater, then turn South onto VT Route 100.  Travel for approximately 10.5 miles, then turn LEFT onto Kingdom Rd and head West.  Continue on Kingdom Rd for approximately 2.3 miles and the Access Area will be on your RIGHT.",-72.66521033,43.47360889,20,13,12
-72.8158,43.6967,14,Colton Pond,Killington,Rutland,F&W,F&W,Boating/Fishing,Small,Concrete Plank,No,Yes,Protected,Medium,Spring/summer,Light,No,No,Yes,No,No,Colton Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,"Take US Route 4, either East from Rutland or West from Woodstock, to Killington, then turn onto VT Route 100 North.  Travel North on VT Route 100 for 2.1 miles, then turn LEFT onto Colton Pond Access Rd and follow to the Access Area.",-72.81581009,43.69667405,,,13
-73.2914,44.295,15,Lake Champlain,Charlotte,Chittenden,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Protected,Large,All Year,Moderate,Yes,Yes,Yes,No,No,Converse Bay,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Charlotte, then turn West onto Ferry Rd (VT-F5).  Travel West on Ferry Rd for 1.4 miles, then turn LEFT onto Lake Rd.  Travel South on Lake Rd for 0.9 miles, then turn RIGHT onto Converse Bay Rd.  Travel West on Converse Bay Rd for 0.7 miles, then turn LEFT onto Cedar Beach Rd.  Travel for 0.2 miles and the Access Area will be on the LEFT.",-73.29135619,44.29497944,172800,400,14
-72.1459,44.7193,16,Crystal Lake,Barton,Orleans,F&W,F&W,Boating/Fishing,Large,Concrete,Yes,Yes,Protected,Small,All Year,Moderate,Yes,Yes,Yes,Yes,No,Crystal Lake,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 25 in Barton.  Turn onto VT Route 16 North and travel to the center of the village.  Turn RIGHT onto US Route 5 South (Lake Street).  Continue South on US Route 5 South for 2.5 miles, driving alongside Crystal Lake.  The Access Area will be seen on the LEFT at the South end of the lake.",-72.14585427,44.71934,778,115,15
-72.5007,44.3765,17,Curtis Pond,Calais,Washington,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,All Year,Moderate,No,Yes,No,No,No,Curtis Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,From Interstate 89 take Exit 8 in Montpelier onto US Route 2 East.  Travel for 7.8 miles to East Montpelier.  In East Montpelier veer LEFT onto VT Route 14 North and travel for 5.5 miles to Pekin Brook Rd.  Turn LEFT onto Pekin Brook Rd and travel West for 3 miles to Kent Hill Rd.  Turn LEFT onto Kent Hill Rd and travel West for 2 miles to Maple Corners.  At Maple Corners continue straight through the intersection onto Worcester Rd.  Drive for .25 miles and the Access Area will be on the RIGHT.,-72.50066255,44.37654024,76,31,16
-72.2572,44.6742,18,Daniels Pond,Glover,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Protected,Small,All Year,Light,No,No,No,No,No,Daniels Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,"Take Interstate 91 to Exit 25 in Barton.  Take VT Route 16 South for 2 miles to the village of Glover.  Continue on VT Route 16 South for approximately 3.3 miles, then turn RIGHT onto Shadow Lake Rd.  Continue driving on Shadow Lake Road for 3.4 miles. Veer right onto Daniels Pond Rd and travel for 0.2 mile to the Access Area on the RIGHT.",-72.25718154,44.67423351,61,13,17
-73.3453,44.085,19,Dead Creek,Addison,Addison,F&W,F&W,Boating/Fishing,Medium,Gravel,No,Yes,Protected,Large,Spring,Light,No,No,No,No,No,Dead Creek,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,"Take US Route 7 to New Haven Junction, then turn onto VT Route 17 West.  Travel West for 9.5 miles and the Access Area will be on the RIGHT, just before the bridge crossing Dead Creek.",-73.345261,44.084982,0,0,18
-72.1222,44.9587,20,Derby Pond,Derby,Orleans,F&W,F&W,Boating/Fishing,Medium,Concrete Plank,No,Yes,South,Medium,All Year,Light,No,No,No,No,No,Derby Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 28 in Derby.  Turn onto US Route 5 North, travel for 1.5 miles, then turn RIGHT onto Nelson Hill Rd.  Travel East on Nelson Hill Rd for 0.2 miles and the Access Area will be on the RIGHT.",-72.12222325,44.95867827,206,19,19
-73.276,44.9163,21,Lake Champlain,Alburg,Grand Isle,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,Northeast,Large,All Year,Moderate,Yes,Yes,Yes,No,No,Dillenbeck Bay,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take Interstate 89 to Exit 17 and turn onto US Route 2 West, towards the Lake Champlain Islands.  Travel West for 29.4 miles.  The Access Area is on the RIGHT, soon after you pass through the village of South Alburg.",-73.27599241,44.91631973,172800,400,20
-72.8298,44.6498,22,Lamoille River,Cambridge,Lamoille,F&W,F&W,Boating/Fishing,Carry-on,None,No,No,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Dorothy Smith,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"From Interstate 89 take Exit 10 for Waterbury/Stowe and head North on VT Route 100 towards Stowe.  Travel North on VT Route 100 for 21.5 miles to the town of Hyde Park.  From Hyde Park follow VT Route 15 West for 13.7 miles to the town of Jeffersonville.  In Jeffersonville turn RIGHT onto VT Route 108 North.  Cross the Iron bridge that spans the Lamoille River, and the Access Area will be just after the bridge on the RIGHT.",-72.82980907,44.64982135,0,0,21
-73.0302,43.1791,23,Dufresne Pond,Manchester,Bennington,F&W,F&W,Boating/Fishing,Carry-on,None,No,Yes,Protected,Small,Trout Season Only,Light,No,No,Yes,No,No,Dufresne Dam,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take US Route 7 to Manchester, then take Exit 4 onto VT Route 11 West.  Travel West for 0.25 miles, then turn RIGHT onto Dufresne Pond Rd.  Travel North on Dufresne Pond Rd for another 0.25 miles and the Access Area will be on the LEFT.",-73.03018952,43.17912011,20,,22
-73.0241,43.1817,24,Dufresne Pond,Manchester,Bennington,F&W,F&W,Fishing,Carry-on,None,No,No,Protected,Small,Trout Season Only,Light,No,No,No,No,No,Dufresne Pond,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take US Route 7 to Manchester, then take Exit 4 onto VT Route 11 West.  Travel West for 0.2 miles, then turn RIGHT onto Dufresne Pond Rd.  Travel North on Dufresne Pond Rd for 0.25 miles, then turn RIGHT onto Town Shed Rd.  Travel East on Town Shed Rd for 0.5 miles and the Access Area will be on the LEFT.",-73.024149,43.181734,20,,23
-71.9898,44.8513,25,Echo Lake,Charleston,Orleans,F&W,F&W,Boating/Fishing,Small,Gravel,No,Yes,North,Small,All Year,Light,No,Yes,Yes,Yes,No,Echo Lake Charleston,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,"Take Interstate 91 to Exit 28 in Derby.  Take US Route 5 East for approximately 1 mile, then turn RIGHT onto VT Route 105 South.  Travel South on VT Route 105 for 11 miles, then turn LEFT onto Church Hill Rd.  Travel North on Church Hill Rd for 1 mile, then turn LEFT onto West Echo Lake Rd.  Travel West on West Echo Lake Rd for 0.25 miles and the access area will be on the LEFT.",-71.98984804,44.8513014,544,129,24
-72.7029,43.4756,26,Echo Lake,Plymouth,Windsor,F&W,F&W,Boating/Fishing,Medium,Concrete Plank,No,Yes,Protected,Small,All Year,Moderate,No,Yes,Yes,No,No,Echo Lake Plymouth,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,"Take US Route 4 to West Bridgewater, the turn onto VT Route 100 South.  Travel South for 9 miles and the Access Area will be on the LEFT.",-72.70293628,43.4755594,96,91,25
-72.1679,44.3609,27,Ewell Pond,Peacham,Caledonia,F&W,F&W,Boating/Fishing,Small,Concrete Plank,No,Yes,Protected,Small,Spring-Summer,Light,No,No,Yes,Yes,No,Ewell Pond,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"From Interstate 89 take Exit 8 for Montpelier and follow US Route 2 East for  27 miles towards the intersection with VT Route 15 located between East Cabot and Danville.  Just before the interstection turn RIGHT onto Keiser Pond Rd.  Head South on Keiser Pond Rd for 4 miles, then turn LEFT onto Taylor Rd.  Travel East on Taylor Rd for 0.25 mile and the Access Area will be on the RIGHT.",-72.167891,44.36089082,50,60,26
-72.9981,44.7882,29,Fairfield Swamp,Fairfield,Franklin,F&W,F&W,Boating/Fishing,Small,Gravel,No,No,Protected,Small,"Spring, Summer, Fall",,No,No,No,No,No,Fairfield Swamp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,"From Interstate 89 take Exit 19 for VT Route 104/St. Albans.  Turn RIGHT onto VT Route 104 North/Fairfax Rd and continue for 0.5 miles, then turn RIGHT onto VT Route 36 East.  Travel East for 4 miles to the Access Area on the LEFT, just after the road crosses the creek.",-72.998092,44.78825,160,,27
-73.3159,44.2218,31,Lake Champlain,Ferrisburg,Addison,F&W,F&W,Boating/Fishing,Large,Concrete,No,Yes,Protected,Large,All Year,Moderate,No,Yes,No,No,Yes,Fort Cassin,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Ferrisburgh, then turn onto Little Chicago Rd, heading West.  Travel for 4 miles, then turn RIGHT onto Sand Rd.  Travel North on Sand Rd for 0.5 miles, the turn LEFT onto Fort Cassin Rd.  Travel West on Fort Cassin Rd for 1 mile, and the Access Area will be on the RIGHT.",-73.31587332,44.22175316,172800,400,28
-72.2146,44.3294,32,Foster Pond,Peacham,Caledonia,F&W,F&W,Boating/Fishing,Small,Concrete Plank,No,Yes,Protected,Small,Spring,Light,No,No,Yes,Yes,No,Fosters Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,"From Interstate 89 take Exit 8 in Montpelier onto US Route 2 East.  Travel East for 30.2 miles to Danville.  In Danville turn RIGHT onto Woodward Rd.  Travel South on Woodward Rd, which becomes Bayley Hazen Rd, for 7 miles, then turn RIGHT onto Church St followed by a quick RIGHT onto Macks Mountain Rd.  Travel West on Macks Mtn. Rd for 2.5 miles, then turn LEFT onto Lanesboro Rd.  Travel South on Lanesboro Rd for 0.5 miles, then turn Left onto Foster Pond Rd.  Travel South on Foster Pond Rd for 0.5 miles, then turn left onto Town Highway 63 and continue to the Access Area.",-72.21464965,44.32944478,62,13,29
-72.5652,43.823,33,White River,Royalton,Windsor,F&W,F&W,Fishing,N/A,None,No,Yes,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Foxstand,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"Take Interstate 89 to Exit 3 in Royalton.  Off the Exit turn onto  VT Route 107 East for 0.25 miles, then turn RIGHT onto VT Route 14 South.  Travel South on VT Route 14 for 0.25 miles, then turn RIGHT onto Royalton Hill Road.  Cross over the railroad tracks and the Access Area will be on the RIGHT just before the iron bridge crossing the White River.",-72.565153,43.82302556,0,0,30
-72.8647,43.1677,34,Gale Meadows Pond,Winhall,Bennington,F&W,F&W,Boating/Fishing,Small,Concrete Plank,Yes,Yes,Protected,Medium,All Year,Moderate,No,No,No,No,No,Gale Meadows Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,"Take US Route 7 to Manchester, then take Exit 4 onto VT Route 30 South/VT Route 11 East.  Follow VT Route 30 South for 12 miles to Bondville.  In Bondville turn LEFT onto River Rd, which just before the Stratton Mountain Access Rd on the right.  Head North on River Rd, which becomes Gale Meadows Rd, for 1.7 miles until the road forks.  At the fork bear LEFT, staying on Gale Meadows Rd, and continue to the Access Area.",-72.864683,43.167744,195,20,31
-73.2012,43.6741,35,Lake Bomoseen,Castleton,Rutland,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,North,Medium,All Year,Moderate,Yes,Yes,Yes,Yes,No,Thomas Evanoika,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 4 to Castleton, then take Exit 4 onto VT Route 30 North.  Travel North on VT Route 30 for 4.5 miles, then turn LEFT onto Float Bridge Rd.  Travel West on Float Bridge Rd for 0.5 miles, crossing the bridge, then turn LEFT onto Johnsonspooner Rd.  Travel South On Johnsonspooner Rd for  1 mile and the Access Area will be on the LEFT.",-73.20119429,43.6740759,2415,65,32
-71.706,44.9948,36,Great Averill Pond,Averill,Essex,F&W,F&W,Boating/Fishing,Large,Concrete,No,Yes,South,Large,All Year,Moderate,Yes,Yes,Yes,No,No,Great Averill Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to Exit 28 in Derby.  Off the Exit take US Route 5 North for  1 mile then turn RIGHT onto VT Route 105 South.  Travel South on VT Route 105 for 0.5 miles, then turn LEFT onto VT Route 111 East.  Continue East on VT Route 111 for 13 miles, then turn LEFT onto VT Route 114 North. Travel North for 18 miles, then turn RIGHT onto Lakeview Rd. Continue for 0.4 miles then turn RIGHT onto Cottage Rd.  Travel South on Cottage Rd for 0.25 miles and the Access Area will be on the RIGHT.",-71.70603109,44.9948056,812,108,33
-73.2332,43.6304,37,Lake Bomoseen,Castleton,Rutland,F&W,F&W,Boating/Fishing,Medium,Concrete,Yes,Yes,North,Large,All Year,Heavy,Yes,Yes,Yes,Yes,No,Kehoe,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 4 to Castleton, then take Exit 4 onto VT Route 30 South. Travel for 0.25 miles, then turn Right onto VT Route 4A/Main St.  Head West on VT Route 4A/Main St for 1 mile, then turn RIGHT onto Creek Rd.  Travel North on Creek Rd for 2.0 miles and the Access Area will be on the RIGHT.",-73.23322587,43.63043891,2415,65,34
-72.4205,44.4551,38,Greenwood Lake,Woodbury,Washington,F&W,F&W,Boating/Fishing,Small,Concrete Plank,No,Yes,Protected,Small,All Year,Light,No,Yes,No,No,No,Greenwood Lake,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"From Interstate 89 take Exit 8 in Montpelier onto US Route 2 East.  Travel for  7.8 miles to East Montpelier, then turn LEFT onto VT Route 14 North.  Travel North for 16 miles, through the village of Woodbury, to the intersection with Greenwood Lake Road.  Turn LEFT onto Greenwood Lake Rd and follow to the Access Area on the LEFT.",-72.42047286,44.45505909,83,41,35
-72.1394,44.284,40,Harvey Lake,Barnet,Caledonia,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Protected,Medium,All Year,Moderate,No,Yes,Yes,Yes,No,Harvey Lake,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,"Take Interstate 91 to Exit 18 in Barnet.  Head West off the Exit, taking West Barnet Rd.  Continue for  2.5 miles, then turn LEFT onto Roy Mountain Rd.  Travel South on Roy Mountain Rd for 1 mile and the Access Area will be on the RIGHT.",-72.13942045,44.28403538,409,145,36
-72.0518,44.0666,41,Connecticut River,Newbury,Orange,Lease,F&W,Boating/Fishing,Medium,Concrete,No,Yes,Protected,Medium,Spring-Summer,Moderate,No,No,Yes,No,No,Haverill Bridge,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"From Interstate 91 take Exit 16 for Bradford.  Off the Exit head East on VT Route 25/Waits River Rd.  Travel East for 1/2 mile, the turn Left onto US Route 5 North.  Travel North on US Route 5 for 8 miles towards Newbury, then turn RIGHT onto Newbury Crosssing Rd.  Travel East for 1/4 mile and the Access Area will be on the LEFT.",-72.05176012,44.06658811,0,0,37
-73.3319,44.8549,42,Lake Champlain,Isle La Motte,Grand Isle,F&W,F&W,Boating/Fishing,Medium,Concrete,No,Yes,East,Medium,All Year,Light,Yes,Yes,No,No,Yes,Holcomb Bay,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"From Interstate 89 take Exit 17 onto US Route 2 West towards the Lake Champlain Islands.  Travel for 27.1 miles, crossing the bridge to Alburg, then turn LEFT onto VT Route 129 West.  Travel West on VT Route 129 for 3.5 miles, then cross the bridge onto Isle La Motte and turn LEFT onto Main St.  Travel South on Main Street for 3.5 miles, then turn LEFT onto Quarry Rd.  Travel 1/2 mile on Quarry Rd and the Access Area will be on the RIGHT.",-73.33185537,44.85487128,172800,400,38
-71.9344,44.9858,43,Holland Pond,Holland,Orleans,F&W,F&W,Boating/Fishing,Small,Concrete Plank,No,Yes,South,Small,Spring-Summer,Light,No,No,No,No,No,Holland Pond,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Take Interstate 91 to Exit 28 in Derby.  Take US Route 5 North for 1 mile, then turn RIGHT onto VT Route 105 East.  Travel 1/2 mile, then turn LEFT onto VT Route 111.  Travel East on VT Route 111 for  2 miles, then turn LEFT onto Bates Hill Rd.  Travel East on Bates Hill Rd, which will become Lackey Rd, for  4.5 miles, the turn RIGHT onto East Shore Rd, followed by a left onto Fishing Access Rd, which leads to the Access Area.",-71.934435,44.985766,334,39,39
