id,CordX,CordY,WaterBody,Town,County,Owner,Manager,BoatingAccess,BoatSize,RampType,UniversalAccess,BulletinBoard,Exposure1,Exposure2,Parking,Shorefishing,UseVolume,Dock,WinterPlowing,SummerPortolet,WinterPortolet,TempPortolet,AccessName,Bowfin,Carp,ChannelCatfish,WhiteCrappie,LongnoseGar,Muskellunge,WhitePerch,AmericanShad,Sheepshead,LakeWhitefish,BrookTrout,BrownTrout,RainbowTrout,LakeTrout,LandlockedSalmon,RainbowSmelt,YellowPerch,Walleye,NorthernPike,ChainPickerel,LargemouthBass,SmallmouthBass,Bullhead,Panfish,BlackCrappie,Burbot,Directions,LakeArea,MaximumDepth
36,-71.706,44.9948,Great Averill Pond,Averill,Essex,F&W,F&W,Yes,Large,Concrete,No,Yes,South,N/A,Large,All Year,Moderate,Yes,Yes,Yes,No,No,Great Averill Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to Exit 28 in Derby.  Off the Exit take US Route 5 North for  1 mile then turn RIGHT onto VT Route 105 South.  Travel South on VT Route 105 for 0.5 miles, then turn LEFT onto VT Route 111 East.  Continue East on VT Route 111 for 13 miles, then turn LEFT onto VT Route 114 North. Travel North for 18 miles, then turn RIGHT onto Lakeview Rd. Continue for 0.4 miles then turn RIGHT onto Cottage Rd.  Travel South on Cottage Rd for 0.25 miles and the Access Area will be on the RIGHT.",812,108
37,-73.2332,43.6304,Lake Bomoseen,Castleton,Rutland,F&W,F&W,Yes,Medium,Concrete,Yes,Yes,North,N/A,Large,All Year,Heavy,Yes,Yes,Yes,Yes,No,Kehoe,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 4 to Castleton, then take Exit 4 onto VT Route 30 South. Travel for 0.25 miles, then turn Right onto VT Route 4A/Main St.  Head West on VT Route 4A/Main St for 1 mile, then turn RIGHT onto Creek Rd.  Travel North on Creek Rd for 2.0 miles and the Access Area will be on the RIGHT.",2415,65
38,-72.4205,44.4551,Greenwood Lake,Woodbury,Washington,F&W,F&W,Yes,Small,Concrete Plank,No,Yes,Protected,Protected,Small,All Year,Light,No,Yes,No,No,No,Greenwood Lake,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"From Interstate 89 take Exit 8 in Montpelier onto US Route 2 East.  Travel for  7.8 miles to East Montpelier, then turn LEFT onto VT Route 14 North.  Travel North for 16 miles, through the village of Woodbury, to the intersection with Greenwood Lake Road.  Turn LEFT onto Greenwood Lake Rd and follow to the Access Area on the LEFT.",83,41
40,-72.1394,44.284,Harvey Lake,Barnet,Caledonia,F&W,F&W,Yes,Medium,Concrete,No,Yes,Protected,Protected,Medium,All Year,Moderate,No,Yes,Yes,Yes,No,Harvey Lake,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,"Take Interstate 91 to Exit 18 in Barnet.  Head West off the Exit, taking West Barnet Rd.  Continue for  2.5 miles, then turn LEFT onto Roy Mountain Rd.  Travel South on Roy Mountain Rd for 1 mile and the Access Area will be on the RIGHT.",409,145
41,-72.0518,44.0666,Connecticut River,Newbury,Orange,Lease,F&W,Yes,Medium,Concrete,No,Yes,Protected,Protected,Medium,Spring-Summer,Moderate,No,No,Yes,No,No,Haverill Bridge,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"From Interstate 91 take Exit 16 for Bradford.  Off the Exit head East on VT Route 25/Waits River Rd.  Travel East for 1/2 mile, the turn Left onto US Route 5 North.  Travel North on US Route 5 for 8 miles towards Newbury, then turn RIGHT onto Newbury Crosssing Rd.  Travel East for 1/4 mile and the Access Area will be on the LEFT.",0,0
42,-73.3319,44.8549,Lake Champlain,Isle La Motte,Grand Isle,F&W,F&W,Yes,Medium,Concrete,No,Yes,East,N/A,Medium,All Year,Light,Yes,Yes,No,No,Yes,Holcomb Bay,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"From Interstate 89 take Exit 17 onto US Route 2 West towards the Lake Champlain Islands.  Travel for 27.1 miles, crossing the bridge to Alburg, then turn LEFT onto VT Route 129 West.  Travel West on VT Route 129 for 3.5 miles, then cross the bridge onto Isle La Motte and turn LEFT onto Main St.  Travel South on Main Street for 3.5 miles, then turn LEFT onto Quarry Rd.  Travel 1/2 mile on Quarry Rd and the Access Area will be on the RIGHT.",172800,400
43,-71.9344,44.9858,Holland Pond,Holland,Orleans,F&W,F&W,Yes,Small,Concrete Plank,No,Yes,South,N/A,Small,Spring-Summer,Light,No,No,No,No,No,Holland Pond,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Take Interstate 91 to Exit 28 in Derby.  Take US Route 5 North for 1 mile, then turn RIGHT onto VT Route 105 East.  Travel 1/2 mile, then turn LEFT onto VT Route 111.  Travel East on VT Route 111 for  2 miles, then turn LEFT onto Bates Hill Rd.  Travel East on Bates Hill Rd, which will become Lackey Rd, for  4.5 miles, the turn RIGHT onto East Shore Rd, followed by a left onto Fishing Access Rd, which leads to the Access Area.",334,39
44,-73.3136,44.9139,Lake Champlain,Alburg,Grand Isle,F&W,F&W,Yes,Medium,Concrete,No,Yes,West, South,Medium,All Year,Light,No,Yes,No,No,Yes,Horicans,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"From Interstate 89 take Exit 17 onto US Route 2 West towards the Lake Champlain Islands.  Travel 27.1 miles, crossing the bridge into Alburg, then turn LEFT onto VT Route 129 West.  Continue on VT Route 129 for 3 miles, then turn RIGHT, just before the bridge to Isle La Motte, onto West Shore Rd.  Travel North for 1/2 mile, and the Access Area will be on the LEFT.",172800,400
45,-72.2094,44.6157,Horse Pond,Greensboro,Orleans,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,Spring,Light,No,No,No,No,No,Horse Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,"Take Interstate 91 to exit 25 in Barton.  Take VT Route 16 South for  8.5 miles, then turn RIGHT onto Horse Pond Rd,  and the Access Area will be on the RIGHT.",32,4
46,-73.2107,43.7524,Hortonia Lake,Sudbury,Rutland,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Medium,Spring-Summer,Light,No,Yes,Yes,Yes,No,Hortonia Lake,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Take US Route 7 to Brandon.  Turn onto VT Route 73 West and drive for  5.5 miles to VT Route 30.  Turn LEFT onto VT Route 30 South and continue for  4.5 miles to Lake Hortonia Rd.  Turn RIGHT onto Lake Hortonia Rd and travel West for  1 mile to the Fishing Access Rd.  Turn LEFT onto the Fishing Access Rd and follow to the Access Area on the RIGHT.,479,60
47,-73.2219,43.7456,Hortonia Lake,Hubbardton,Rutland,F&W,F&W,Yes,Medium,Concrete Plank,No,Yes,Protected,Protected,Small,All Year,Moderate,No,Yes,Yes,Yes,No,Hortonia Lake Dam,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,"Take US Route 4 to Exit 2 in Fair Haven, and turn onto VT Route 22A North.  Travel for 8.2 miles to VT Route 144.  Turn RIGHT onto VT Route 144 East.  Travel for  3 miles and the Access Area will be on the LEFT.",479,60
48,-72.4302,43.2606,Connecticut River,Springfield,Windsor,F&W,F&W,Yes,Large,Concrete,Yes,Yes,Protected,Protected,Large,All Year,Heavy,Yes,Yes,Yes,Yes,No,Hoyts Landing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 7 in Springfield.  Take US Route 5 North for 1/2 mile, and the Access Area will be on the RIGHT, just before the bridge crossing the Connecticut River.",0,0
49,-71.8664,44.7928,Island Pond,Brighton,Essex,F&W,F&W,Yes,Medium,Concrete,No,Yes,Northeast,N/A,Small,All Year,Moderate,No,Yes,Yes,Yes,No,Island Pond,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,"Take Interstate 91 to Exit 28 in Derby.  Take US Route 5 North for  1 mile, then turn RIGHT onto VT Route 105.  Travel East on VT Route 105 for 18 miles, then VT Route 105 becomes Derby St.  Travel East on Derby St for 1/2 mile, then turn RIGHT onto Pleasant St.  Travel South on Pleasant St for 1/4 mile, and the Access Area will be on the LEFT.",608,63
50,-71.9522,44.7603,Job's Pond,Westmore,Orleans,F&W,F&W,Yes,Small,Gravel,No,Yes,Northwest,N/A,Small,All Year,Light,No,No,No,No,No,Job's Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to Exit 26 in Barton.  Take US Route 5 South for 18 miles to West Burke, then turn LEFT onto VT Route 5A.  Travel North on VT Route 5A for approximately 3/4 mile, then turn RIGHT onto Newark St.  Travel North on Newark St, which becomes Abbot Hill Rd. for 9 miles, and the Access Area will be on the LEFT.",39,18
51,-72.2183,44.4036,Joe's Pond,Danville,Caledonia,F&W,F&W,Yes,Medium,Concrete,No,Yes,North,N/A,Small,All Year,Moderate,No,Yes,Yes,Yes,No,Joe's Pond,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 21 in St. Johnsbury.  Take US Route 2 West for 10 miles, then turn RIGHT onto Fitts Rd and continue to the Access Area at the end.",396,78
52,-72.1807,44.9961,Lake Memphremagog,Derby,Orleans,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,Spring-Summer,Light,No,No,No,No,No,Johns River,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"Take Interstate 91 to Exit 28 in Derby.  Take US Route 5 South for 1/2  mile, then turn RIGHT onto Shattuck Hill Rd.  Travel West on Shattuck Hill Rd for  1 mile, then turn RIGHT onto Darling Hill Rd.  Travel North on Darling Hill Rd. until the road forks.  Veer LEFT at the fork onto North Derby Rd.  Travel 1.7 miles and the Access Area will be on the LEFT.",6317,351
53,-73.3205,44.6678,Lake Champlain,South Hero,Grand Isle,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,All Year,Light,No,Yes,Yes,Yes,No,Keeler Bay,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take Interstate 89 to Exit 17 and turn onto US Route 2 West towards the Lake Champlain Islands.  Travel West for 12 miles, going through the town of South Hero.  The Access Area will be on the RIGHT, shortly after the town.",172800,400
54,-73.3317,44.9989,Lake Champlain,Alburg,Grand Isle,F&W,F&W,Yes,Medium,Concrete Plank,No,Yes,West,N/A,Medium,All Year,Moderate,No,Yes,Yes,Yes,No,Kelly Bay,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"From Interstate 89 take Exit 17 onto US Route 2 West towards the Lake Champlain Islands.  Continue on US Route 2 West for  34.8 miles to Alburg Village.  Proceed through Alburg Village, and continue on US Route 2 West for 3.1 miles until you reach the bridge to Rouses Point, NY.  The Access Area will be on the LEFT just before crossing the bridge.",172800,400
55,-72.8079,43.6748,Kent Pond,Killington,Rutland,F&W,F&W,Yes,Small,Concrete Plank,No,Yes,Protected,Protected,Large,Spring-Summer,Light,No,No,No,No,No,Kent Pond,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,"Take US Route 4 to Killington, then turn North onto VT Route 100.  Travel North on VT Route 100 for1/2 mile, and the Access Area will be on the RIGHT.",71,15
56,-72.1707,44.3846,Keiser Pond,Peacham,Caledonia,F&W,F&W,Yes,Small,Concrete Plank,No,No,Protected,Protected,Small,Spring,Light,No,No,No,No,No,Keiser Pond,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,"Take Interstate 91 to Exit 21 in St. Johnsbury.  Turn onto US Route 2 West and travel for 10 miles, then turn LEFT onto Keiser Pond Rd.  Travel South on Keiser Pond Rd for 2.5 miles, and the Access Area will be on the LEFT.",33,20
57,-73.2506,44.8698,Lake Champlain,North Hero,Grand Isle,F&W,F&W,Yes,Medium,Concrete,No,Yes,Northeast,N/A,Medium,All Year,Moderate,Yes,Yes,Yes,Yes,No,Kings Bay,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take Interstate 89 to Exit 17 in Colchester.  Turn onto US Route 2 West towards the Lake Champlain Islands.  Continue on US Route 2 West for  25 miles, through the town of North Hero, then turn RIGHT onto Lakeview Dr.  Travel North on Lakeview Drive for 1/2 mile, and the Access Area will be on the RIGHT.",172800,400
58,-72.5621,43.4454,Knapp Pond #1,Cavendish,Windsor,F&W,F&W,Yes,Small,Concrete Plank,Yes,Yes,Protected,Protected,Large,Trout Season Only,Moderate,No,No,No,No,No,Knapp Pond 1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to Exit 8 in Weathersfield.  Off the Exit take VT Route 131 West for 6.5 miles, then turn RIGHT onto VT Route 106.  Travel North on VT Route 106 for 3.5 miles, then turn LEFT onto Knapp Brook Rd.  Travel West on Knapp Brook Rd, which becomes Felchvilled Gulf Rd, for  1 mile, then turn RIGHT onto Knapp Pond Rd.  Travel west on Knapp Pond Rd for 1.5 miles, and the Access Area will be on the RIGHT.",25,12
59,-72.5661,43.4459,Knapp Pond #2,Cavendish,Windsor,F&W,F&W,Yes,Small,Concrete Plank,No,Yes,Protected,Protected,Medium,Trout Season Only,Light,No,No,No,No,No,Knapp Pond 2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Take Interstate 91 to exit 8 in Weathersfield.  Off the Exit take VT Route 131 west for 6.5 miles, then turn RIGHT onto VT Route 106.  Travel North on VT Route 106 for  3.5 miles, then turn RIGHT onto VT Route 106.  Travel North on VT Route 106 for 3.5 miles, then turn LEFT onto Knapp Brook Rd.  Travel West on Knapp Brook Rd, which becomes Felchville Gulf Rd, for 1 mile, then turn RIGHT onto Knapp Pond Rd.  Travel West on Knapp Pond Rd for approximately 1.5 miles and the Access Area will be on the RIGHT.",35,20
60,-73.0855,43.9071,Lake Dunmore,Salisbury,Addison,F&W,F&W,Yes,Medium,Concrete,No,Yes,Protected,Protected,Large,Spring,Heavy,Yes,Yes,Yes,Yes,No,Magoon,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Salisbury, then turn East onto VT Route 53/Lake Dunmore Rd.  Travel East on Lake Dunmore Rd for 1.5 miles, then turn right onto West Shore Rd.  Travel South on West Shore Rd for  6 miles and the Access Area will be on the LEFT.",1037,105
61,-72.4959,44.7288,Lake Eden,Eden,Lamoille,F&W,F&W,Yes,Small,Gravel,No,Yes,South,N/A,Small,All Year,Light,No,No,No,No,No,Lake Eden,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 26 in Orleans.  Off the Exit follow US Route 5 North, then immediately turn LEFT onto VT Route 58 West.  Travel West for 12.8 miles, then  Turn LEFT onto VT Route 100 South, and continue for 7 miles to the Access Area on the LEFT.",186,40
62,-72.358,44.6036,Lake Eligo,Greensboro,Orleans,F&W,F&W,Yes,Medium,Concrete,No,Yes,North,N/A,Medium,All Year,Moderate,No,Yes,No,No,No,Lake Elligo,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,"Take Interstate 91 to Exit 27 in Orleans.  Off the Exit follow US Route 5 North, then immediately turn LEFT onto VT Route 58 West.  Travel West for  3.3 miles to Irasburg, then turn LEFT onto VT Route 14 South.  Travel South on VT Route 14 for 18 miles and the Access Area will be on the LEFT.",190,100
63,-72.5213,44.527,Lake Elmore,Elmore,Lamoille,F&W,F&W,Yes,Medium,Concrete,No,Yes,North,N/A,Medium,All Year,Moderate,No,Yes,No,No,No,Vaughn M. Douglass,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,"Take Interstate 89 to Exit 10 for Waterbury/Stowe.  Off the Exit follow VT Route 100 North towards Stowe.  Travel for 18.4 miles to the town of Morrisville.  In Morrisville turn RIGHT onto VT Route 12 South/Elmore Rd. Travel South for  4.5 miles, and the Access Area will be on the RIGHTat the south end of the lake.",224,17
64,-72.2269,43.8905,Lake Fairlee,West Fairlee,Orange,F&W,F&W,Yes,Medium,Concrete Plank,No,Yes,Northeast,N/A,Medium,All Year,Heavy,No,Yes,Yes,Yes,No,Lake Fairlee,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 15 for Fairlee.  Off the Exit take Lake Morey Rd to US Route 5 South, then travel for 2.4 miles to VT Route 244.  Turn RIGHT onto VT Route 244 West and travel for 4 miles to the Access Area on the LEFT.",457,50
65,-73.0902,44.3771,Lake Iroquois,Williston,Chittenden,F&W,F&W,Yes,Medium,Concrete Plank,No,Yes,Protected,Protected,Medium,All Year,Moderate,Yes,Yes,Yes,No,No,Lake Iroquois,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 89 to Exit 12 in Williston.  Off the Exit, take VT Route 2A South for 2.5 miles, then turn LEFT onto Butternut Rd.  Travel East on Butternut RD for 2 miles, then turn RIGHT onto Oak Hill Rd.  Travel South on Oak Hill Rd for  2 miles, then turn LEFT onto Beebe lane, and the Access Area will be on the RIGHT.",229,37
66,-72.1593,43.9213,Lake Morey,Fairlee,Orange,F&W,F&W,Yes,Medium,Concrete,No,Yes,Northeast,N/A,Small,All Year,Heavy,No,Yes,Yes,Yes,No,Lake Morey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Take Interstate 91 to Exit 15 in Fairlee.  Off the Exit take Lake Morey Rd West for 1.5 miles and the Access Area will be on the RIGHT.,547,43
67,-72.7603,43.4749,Lake Ninevah,Mount Holly,Rutland,F&W,F&W,Yes,Small,Gravel,No,Yes,Southeast,N/A,Small,Spring,Light,No,No,Yes,No,No,Joseph Wiltshire,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take US Route 7 to Wallingford, then turn East onto VT Route 140.  Travel East for 6 miles, then turn RIGHT onto VT Route 103 South.  Travel South on VT Route 103 for  6 miles, then turn LEFT onto Sawyer Hill Rd.  Travel North on Sawyer Hill Rd, which becomes Townsend Barn Rd for 2.5 miles and the Access Area will be on the LEFT.",171,12
68,-72.2314,44.7261,Lake Parker,Glover,Orleans,F&W,F&W,Yes,Medium,Concrete,No,Yes,South,N/A,Medium,All Year,Light,No,Yes,Yes,No,No,Lake Parker,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 25 in Barton.  Off the Exit take VT Route 16 North for 1/2 mile, then turn LEFT onto Roaring Brook Rd.  Travel West on Roaring Brook Rd, which becomes West Glover Rd, for 2.5 miles, then turn RIGHT onto County Rd.  Travel West on County Rd for 1/4 mile, then turn LEFT onto Access Lane and continue to the Access Area.",239,45
69,-72.8201,42.8839,Lake Raponda,Wilmington,Windham,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,All Year,Light,No,No,No,No,No,Lake Raponda,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,"From Interstate 91 take Exit 2 for Brattleboro.  Off the Exit take VT Route 9 West for 18 miles towards the town of Wilmington.  Just East of Wilmington, after passing Molly Stark State Park, turn Right onto Lake Raponda Rd.  Travel North on Lake Raponda Rd to the Access Area at the North end of the Lake.",116,12
70,-72.7019,43.4559,Lake Rescue,Ludlow,Windsor,F&W,F&W,Yes,Medium,Concrete Plank,No,Yes,Protected,Protected,Small,All Year,Moderate,No,Yes,Yes,No,No,Lake Rescue,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take US Route 4 to West Bridgewater, the turn South onto VT Route 100.  Travel South on VT Route 100 for 8 miles, the turn LEFT onto Kingdom Rd.  Travel East for 1/2 mile, then turn RIGHT on Buzwell Pond Rd.  At the fork, veer LEFT onto E. Lake Rd, then turn RIGHT onto Ellisons Lake Rd.  Travel West on Ellisons Lake Rd for 1/2 mile, then turn LEFT onto Fishing Access Rd and continue to the Access Area.",229,90
71,-72.8768,42.7858,Lake Sadawga,Whitingham,Windham,F&W,F&W,Yes,Small,Gravel,No,Yes,Protected,Protected,Small,All Year,Moderate,No,Yes,No,No,No,Lake Sadawga,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,"From Interstate 91 take Exit 2 for Brattleboro.  Off the Exit take VT Route 9 West for 17 miles, then turn LEFT onto VT Route 100 South.  Travel South on VT Route 100 for 8.7 miles, through the town of Jacksonville, to Lake Sadawga Rd.  Turn LEFT on Lake Sadawga Rd and the Access Area will be on the RIGHT just before the road crosses the stream.",194,10
72,-73.2043,43.4446,Lake Saint Catherine,Wells,Rutland,F&W,F&W,Yes,Medium,Concrete,No,Yes,Protected,Protected,Medium,Spring-Summer,Heavy,Yes,No,Yes,No,No,Lake Saint Catherine,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Wallingford, then turn onto VT Route 140 West.  Travel West on VT Route 140 for 8 miles, then turn LEFT onto VT Route 133 South/South St in Middletown Springs.  Travel South on VT Route 133 until you reach West Tinmouth and turn RIGHT onto Wells Rd.  Continue driving until you reach Wells, then turn RIGHT onto North St.  Travel North on North St for 1.5 miles, then turn RIGHT on South Lake Rd, followed by an immediate LEFT onto Bert's Nest Rd.  Continue to the Access Area on the RIGHT.",883,64
73,-72.0534,44.7687,Lake Willoughby,Westmore,Orleans,F&W,F&W,Yes,Medium,Gravel,No,Yes,Southwest,N/A,Small,All Year,Heavy,Yes,Yes,Yes,Yes,No,Lake Willoughby,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,"Take Interstate 91 to Exit 23 in Lyndon.  Off the Exit, head North on US Route 5 for 9.5 miles to West Burke.  In West Burke turn RIGHT onto VT Route 5A North.  Travel North for 9 miles, and the Access Area will be on the LEFT.",1653,308
74,-72.5495,44.5674,Lamoille River,Morristown,Lamoille,F&W,F&W,No,N/A,None,No,Yes,Protected,Protected,Small,Spring,Light,No,No,No,No,No,Rotary,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,"From Interstate 89 take Exit 10 and follow VT Route 100 North for 20 miles towards Morrisville.  At Morrisville center (four corners) continue straight on Main St for 1/4 mile, then bear LEFT onto VT Route 15A.  Continue on VT Route 15A for 2 miles to where it meets VT Route 15.  Turn RIGHT on VT Route 15 East and continue for 1.5 miles to the Access Area on the RIGHT.",0,0
75,-73.3919,43.926,Lake Champlain,Shoreham,Addison,F&W,F&W,Yes,Medium,Concrete,No,Yes,West,N/A,Large,All Year,Heavy,No,Yes,Yes,No,No,Lapham Bay,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Middlebury, then turn onto VT Route 30 South.  Travel South for 4 miles, then turn RIGHT onto VT Route 74.  Travel West on VT Route 74 for 4 miles, then turn RIGHT onto Doolittle Rd.  Travel West on Doolittle Rd for 1.5 miles, to where Doolittle Rd becomes Lapham Bay Rd.  Travel West on Lapham Bay Rd for 4 miles.  When the road tees turn RIGHT followed by a quick LEFT to the reach the Access Area.",172800,400
76,-73.3695,43.8491,Lake Champlain,Shoreham,Addison,F&W,F&W,Yes,Medium,Concrete,No,Yes,Protected,Protected,Large,All Year,Heavy,Yes,Yes,Yes,Yes,No,Larrabees Point,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Take US Route 7 to Middlebury, then take VT Route 125 West for  8.5 miles to the intersection with VT Route 22A in Bridport.  Turn LEFT onto VT 22A South and travel for 6.6 miles to VT Route 74 in Shoreham.  Turn RIGHT onto VT Route 74 West and continue for  4.7 miles to VT Route 73. Turn LEFT onto VT Route 73 East, followed soon after by a RIGHT onto Hanson Rd.  The Access Area will be on the RIGHT off of Hanson Rd.",172800,400
77,-73.2744,44.2485,Lewis Creek,Ferrisburg,Addison,Lease,F&W,Yes,Medium,Concrete Plank,No,Yes,Protected,Protected,Medium,Spring-Summer,Light,No,No,No,No,Yes,Lewis Creek,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Take US Route 7 to Ferrisburgh.  After traveling 1.4 miles north of the village turn West onto Greenbush Rd.  Continue on Greenbush Rd for  2 miles, then turn LEFT onto Long Point Rd.  Travel West on Long Point Rd for 1.5 miles to where the road forks.  Veer LEFT onto Bay Rd and continue for 0.2 miles to the Access road on the LEFT.  Follow the Access Rd for 1/4 mile to the Access Area at the end.",0,0
78,-72.0996,44.9193,Little Salem Lake,Derby,Orleans,F&W,F&W,Yes,Small,Gravel,No,Yes,South,N/A,Small,Spring,Light,No,No,No,No,No,Little Salem Lake,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,"Take Interstate 91 to Exit 28 in Derby.  Off of the Exit take US Route 5 North for 1 mile, then turn RIGHT onto VT Route 105.  Take VT Route 105 East for 2.5 miles, then turn LEFT onto Haywood Road.  Continue to the Access Area on the RIGHT.",788,70
